Date,rank,song_id,title,artist,genre,genre_coding,date_coding
201507,12,1698475,Falling Slowly,Glen Hansard & Marketa Irglova,Foreign Movie,8,7
201507,13,5760248,너에게,정준일,Rock,3,7
201507,14,5758400,치킨에 맥주,김지수,Folk,1,7
201507,15,5719286,뱅뱅뱅 (BANG BANG BANG),BIGBANG,Rap / Hip-hop,5,7
201507,16,4282611,서울 이곳은,로이킴,Drama,4,7
201507,17,3813657,"입장정리 (Feat. 최자, Simon D)",프라이머리,Rap / Hip-hop,5,7
201507,18,2140950,바래진 기억에,박지윤,Ballad,0,7
201507,19,1883446,기억을 걷는 시간,넬 (NELL),Rock,3,7
201507,20,5768980,PARTY,소녀시대 (GIRLS` GENERATION),Dance,7,7
201507,21,5713425,Hooka,혁오 (HYUKOH),Rock,3,7
201507,22,5385972,Feels Like Roller-Coaster Ride,혁오 (HYUKOH),Rock,3,7
201507,23,3941434,내안에 하늘과 숲과 그대를,원 모어 찬스 (one more chance),Rock,3,7
201507,24,522852,너에게 쓰는 편지 (Feat. 린),MC 몽,Rap / Hip-hop,5,7
201507,25,5748499,SHAKE IT,씨스타,Dance,7,7
